Rcd_DT,Account_No,Appl_ID,ApplSts_ID,CIF_ID,CardTyp_ID,CardBrand_ID,CardApplTyp_ID,ApplChnnl_ID,Reject_ID,Decline_ID,Agent_ID,ScoreDecision_ID,ScoreRank_ID,SysRcmmd_ID,Gender,Age,Race,Nationality,MaritalSts,Academic,YrStay,HomeOwn,Occupation,NOB,YrJob,NetIncome,GrossIncome,AnnualIncome,AnnualIncomeTotLmt,CurrRepay,NewRepay,RcmmdIntrst,NDI,CurrDSR,NewDSR,PaySlipTyp_ID,CardActivate_FG,EmergencyCont_FG,CardActivate_DT,Judge_DT,Appl_DT,B_Limit,B_CrLimit,B_CashAdvLimit,B_NonBankCommitment,CIFState_ID,Biometric_FG,FinalDecline_ID,Final_Score,Final_Score_Type,Final_ScoreDesc,ApplyCardBiz_ID,ProposedCardBiz_ID
9/2/2026,1000000000000000,25888583239,Approve,97588190,Infinite,Visa,P,B6,0,0,1,A,D,N,F,37,Chinese,MAL,SINGLE,SPM,9,RENTING,IT Executive,Plantation,16,20102,23555,282665,282665,25,28,7.92,5468,34,36,3,Y,Y,20260828,20260820,20260818,55730.35,45500,10230.35,367.52,Johor,1,0,761,4,Good,GD,PL
9/2/2026,1000000000000001,27487399721,Approve,85853367,Platinum,Visa,P,B6,0,0,94850000,A,A,D,M,61,Indian,MAL,MARRIED,Master Degree,4,FAMILY OWNED,Clerk,Manufacturing,10,9593,12014,144176,144176,30,32,3.52,6699,27,34,1,N,Y,0,20260429,20260424,29871.07,24500,5371.07,862.51,Pulau Pinang,N,0,715,3,Fair,C2,MG
9/2/2026,1000000000000002,20824904251,Approve,10007812,Gold,Master,P,O1,0,0,88,A,H,A,M,23,Indian,MAL,SINGLE,Diploma,2,RENTING,Businessman,Manufacturing,1,8395,11038,132457,132457,33,41,6.75,1241,42,49,3,Y,N,20260705,20260621,20260607,32192.58,22500,9692.58,1239.88,Perak,N,0,633,1,Low,IN,PL
9/2/2026,1000000000000003,22253211938,Approve,49123810,Platinum,Master,P,T1,0,0,1,A,-,A,M,41,Malay,MAL,WIDOWED,SPM,6,RENTING,Administrator,Construction,1,24002,31706,380479,380479,21,33,0.42,1860,19,25,5,Y,Y,20260512,20260424,20260329,48756.77,33500,15256.77,1005.13,Terengganu,0,0,693,3,No Score,PL,IN
9/2/2026,1000000000000004,29901795862,Approve,45830413,Infinite,Visa,S,B2,0,0,88,A,A,A,F,37,Malay,MAL,SINGLE,SPM,4,FAMILY OWNED,Chef,Transportation,4,21413,25177,302131,302131,12,14,13.66,1433,5,15,3,N,N,0,20250819,20250729,51689.55,40000,11689.55,1740.48,Johor,Y,0,741,4,Fair,CL,GD
9/2/2026,1000000000000005,21999821801,Approve,90323465,Infinite,Master,S,T3,0,0,1,A,A,N,M,30,Chinese,MAL,SINGLE,STPM,7,FAMILY OWNED,Army Personnel,Plantation,3,17781,21574,258899,258899,34,36,1.61,3660,33,40,5,Y,N,20251226,20251218,20251215,51805.35,39500,12305.35,615.77,Terengganu,N,0,741,3,No Score,GD,CL
9/2/2026,1000000000000006,26324686486,Approve,45349744,Gold,Master,S,R2,0,0,88,A,A, ,F,51,Chinese,MAL,MARRIED,SPM,25,RENTING,Driver,Construction,27,13112,15730,188764,188764,21,27,5.1,6350,24,33,1,Y,N,20260831,20260823,20260822,32018.25,26000,6018.25,726.56,Johor,Y,0,745,3,No Score,MG,MG
9/2/2026,1000000000000007,28723798093,Approve,59287710,Platinum,Master,P,T1,0,0,0,A,D,A,F,37,Chinese,MAL,MARRIED,Diploma,17,OWNED,Retail Assistant,Telecommunications,17,17734,23201,278414,278414,13,17,10.96,7882,18,19,5,Y,N,20260612,20260523,20260504,44065.74,34500,9565.74,1178.37,Kelantan,1,0,825,4,No Score,MG,C2
9/2/2026,1000000000000008,26537052857,Approve,25075778,Classic,Visa,P,B1,0,0,88,A,-, ,M,33,Indian,MAL,SINGLE,Bachelor Degree,2,FAMILY OWNED,Security Guard,Hospitality,9,10428,13390,160691,160691,21,24,14.38,1082,32,34,5,Y,Y,20250910,20250909,20250820,28029.15,20000,8029.15,650.37,Pulau Pinang,1,0,635,1,Fair,BC,BC
9/2/2026,1000000000000009,26719672452,Approve,53609415,Gold,Master,S,U1,0,0,94850000,A,A,A,M,43,Malay,MAL,MARRIED,Diploma,23,FAMILY OWNED,Self-Employed,Oil & Gas,23,17735,23362,280349,280349,20,21,7.24,2789,24,26,5,Y,Y,20251101,20251012,20250924,48699.9,38000,10699.9,112.27,Negeri Sembilan,Y,0,736,1,Excellent,GD,C2
9/2/2026,1000000000000010,27979527255,Approve,84226773,Infinite,Visa,P,O1,0,0,88,A,-, ,F,65,Indian,MAL,MARRIED,STPM,24,OWNED,Supervisor,Food & Beverage,25,22483,26775,321305,321305,22,24,14.92,5282,24,30,1,N,N,0,20260206,20260126,48027.05,35000,13027.05,358.79,Pahang,0,0,781,1,No Score,BC,GD
9/2/2026,1000000000000011,21612666067,Approve,56089546,Platinum,Master,S,R5,0,0,88,A,D, ,F,62,Indian,MAL,WIDOWED,Diploma,3,OWNED,Lecturer,Wholesale,17,15357,18676,224119,224119,23,34,15.53,4781,21,30,1,N,N,0,20260329,20260304,49413.56,36000,13413.56,33.39,Perak,1,0,578,2,Low,GD,PL
9/2/2026,1000000000000012,21948444431,Approve,10558017,Platinum,Visa,S,T1,0,0,94850000,A,A,D,M,49,Malay,MAL,MARRIED,SPM,1,MORTGAGE,Sales Executive,Financial Services,8,8266,9531,114382,114382,25,27,12.87,7071,35,40,1,Y,Y,20251227,20251210,20251113,37137.04,28500,8637.04,1019.17,Kuala Lumpur,1,0,604,1,Very Good,BC,MG
9/2/2026,1000000000000013,22290067388,Approve,41975856,Platinum,Master,P,R5,0,0,1,A,B, ,M,47,Malay,MAL,MARRIED,SPM,26,OWNED,Doctor,Education,0,15377,18572,222870,222870,20,24,15.35,3970,22,25,5,Y,N,20260503,20260502,20260415,45891.85,37000,8891.85,1452.59,Perak,Y,0,753,4,No Score,BC,BC
