TX_DT,Account_No,CIF_No,DC_Sts,Application_Branch,Score_Value,Score_Grade,MDD,FinPlus_Code,Billing_OSP,Billing_Count,Collection_OSP,Collection_Count,Unpaid_OSP,Unpaid_Count,Maintain_OSP,Maintain_Count
20260902,1000000000000000,97588190,0,3,227,B,2,F,19131.62,1,18197.74,1,739.42,1,194.46,1
20260825,1000000000000000,97588190,0,26,237,B,18,F,19131.62,1,19131.62,1,0.0,0,0.0,0
20260902,1000000000000001,85853367,0,46,175,B,18,S,5202.01,1,5132.47,1,66.44,1,3.1,1
20260825,1000000000000001,85853367,0,25,176,B,10,F,5202.01,1,5202.01,1,0.0,0,0.0,0
20260902,1000000000000002,10007812,0,38,188,B,18,O,3325.42,1,3325.42,1,0.0,0,0.0,0
20260825,1000000000000002,10007812,0,15,170,A,2,O,3325.42,1,3325.42,1,0.0,0,0.0,0
20260902,1000000000000003,49123810,0,2,233,B,10,F,1675.0,1,1675.0,1,0.0,0,0.0,0
20260825,1000000000000003,49123810,0,27,226,B,25,S,1675.0,1,1675.0,1,0.0,0,0.0,0
20260902,1000000000000004,45830413,0,37,250,B,2,F,18166.71,1,18166.71,1,0.0,0,0.0,0
20260825,1000000000000004,45830413,0,6,204,A,10,F,18166.71,1,18166.71,1,0.0,0,0.0,0
20260902,1000000000000005,90323465,0,16,172,A,2,F,2959.88,1,2959.88,1,0.0,0,0.0,0
20260825,1000000000000005,90323465,0,44,203,B,18,F,2959.88,1,2959.88,1,0.0,0,0.0,0
20260902,1000000000000006,45349744,0,2,227,B,10,F,2711.37,1,2711.37,1,0.0,0,0.0,0
20260825,1000000000000006,45349744,0,29,231,A,10,F,2711.37,1,2711.37,1,0.0,0,0.0,0
20260902,1000000000000007,59287710,0,39,206,B,10,O,9648.02,1,9648.02,1,0.0,0,0.0,0
20260825,1000000000000007,59287710,0,29,233,A,18,O,9648.02,1,9648.02,1,0.0,0,0.0,0
20260902,1000000000000008,25075778,0,21,227,A,10,O,13929.8,1,13929.8,1,0.0,0,0.0,0
20260825,1000000000000008,25075778,0,19,229,A,2,S,13929.8,1,13929.8,1,0.0,0,0.0,0
20260902,1000000000000009,53609415,0,31,194,A,2,S,8462.02,1,8462.02,1,0.0,0,0.0,0
20260825,1000000000000009,53609415,0,39,175,A,2,S,8462.02,1,8462.02,1,0.0,0,0.0,0
20260902,1000000000000010,84226773,0,15,232,A,18,F,13848.07,1,13848.07,1,0.0,0,0.0,0
20260825,1000000000000010,84226773,0,1,181,B,10,F,13848.07,1,13848.07,1,0.0,0,0.0,0
20260902,1000000000000011,56089546,0,4,208,B,10,S,21741.93,1,21741.93,1,0.0,0,0.0,0
20260825,1000000000000011,56089546,0,19,196,A,18,O,21741.93,1,21741.93,1,0.0,0,0.0,0
20260902,1000000000000012,10558017,2,22,169,C,25,S,12883.28,1,7188.06,1,4449.58,1,1245.64,1
20260825,1000000000000012,10558017,2,16,105,B,10,S,12883.28,1,6910.56,1,5651.5,1,321.22,1
20260902,1000000000000013,41975856,0,13,179,B,25,S,20790.45,1,20790.45,1,0.0,0,0.0,0
20260825,1000000000000013,41975856,0,15,234,B,10,O,20790.45,1,20483.35,1,283.22,1,23.88,1
20260902,1000000000000014,79358085,0,36,207,B,18,O,3921.66,1,3921.66,1,0.0,0,0.0,0
20260825,1000000000000014,79358085,0,40,205,A,10,F,3921.66,1,3921.66,1,0.0,0,0.0,0
