Rcd_DT,CIF_ID,CIF_NM,CIF_NM1,CIF_NM2,MaritalSts,Gender,Citizen,State,Region,Race,NOB,HomeOwn,HomePost,_HomeAddr1,_HomeAddr2,_HomeAddr3,EmpPost,MailPost,Occupation,PayslipTyp,Academic,Emp_NM,SelftEmp_FG,Felda_FG,JoinIncome_FG,RecvPromo_FG,N_Age,N_YrStay,N_YrJob,B_NetIncome,B_GrossIncome,B_AnnualIncome,EmpSts
2026-09-02,95822412,Haikal Ahmad,Haikal,Ahmad,WIDOWED,M,MALAYSIAN,Perak,Northern,Malay,Professional Services,FAMILY OWNED,34365,"No 271, Jalan Nuri 4",Taman Taman Sri Muda,"Teluk Intan, Perak",34755,34365,Doctor,1,Bachelor Degree,IOI Corporation,N,N,N,Y,59,30,23,18214.98,23626.68,283520.16,3
2026-09-02,24942603,Muhammad Shahrul,Muhammad,Shahrul,SINGLE,M,MALAYSIAN,Johor,Southern,Malay,Real Estate,OWNED,79762,"No 248, Jalan Merdeka 17",Taman Seri Kembangan,"Segamat, Johor",83437,79762,Technician,3,SPM,Gamuda Berhad,N,Y,N,Y,21,2,2,21764.25,26763.24,321158.88,1
2026-09-02,13356886,Hasnah Zaki,Hasnah,Zaki,SINGLE,F,MALAYSIAN,Selangor,Central,Malay,Construction,OWNED,47069,"No 67, Jalan Melati 17",Taman Desa Jaya,"Klang, Selangor",45927,47069,IT Executive,5,Bachelor Degree,Nestle (M) Berhad,N,Y,N,N,22,2,2,24777.04,32168.35,386020.2,1
2026-09-02,46913810,Syafiq Muhammad,Syafiq,Muhammad,SINGLE,M,MALAYSIAN,Perak,Northern,Malay,Telecommunications,FAMILY OWNED,34010,"No 21, Jalan Anggerik 13",Taman Sentosa,"Ipoh, Perak",32058,34010,Manager,1,SPM,Malayan Banking Berhad,N,N,N,Y,60,34,32,9141.5,10811.77,129741.24,5
2026-09-02,42868828,Muthu Krishnan,Muthu,Krishnan,MARRIED,M,MALAYSIAN,Selangor,Central,Indian,Food & Beverage,OWNED,48351,"No 330, Jalan Delima 7",Taman Taman Sri Muda,"Subang Jaya, Selangor",67142,48351,Supervisor,5,Bachelor Degree,Public Bank Berhad,N,N,N,Y,58,22,9,9541.55,11470.67,137648.04,1
2026-09-02,39958838,Razak Nabil,Razak,Nabil,MARRIED,M,MALAYSIAN,Kedah,Northern,Malay,Construction,RENTING,09124,"No 329, Jalan Ria 13",Taman Damansara Utama,"Langkawi, Kedah",08524,09124,Police Officer,2,SPM,Astro Malaysia,N,N,Y,N,63,13,11,11733.42,14017.23,168206.76,4
2026-09-02,28728463,Gan Jun Jie,Gan,Jun Jie,MARRIED,F,MALAYSIAN,Pulau Pinang,Northern,Chinese,Financial Services,OWNED,11456,"No 59, Jalan Murni 10",Taman Bandar Sunway,"Butterworth, Pulau Pinang",10405,11456,Sales Executive,3,Bachelor Degree,DiGi Telecommunications,N,N,N,N,22,2,2,19957.63,24599.97,295199.64,1
2026-09-02,23756669,Fatimah Ridwan,Fatimah,Ridwan,MARRIED,F,MALAYSIAN,Selangor,Central,Malay,Government,OWNED,68315,"No 77, Jalan Permai 14",Taman Sentosa,"Petaling Jaya, Selangor",68121,68315,Technician,3,Diploma,AEON Co (M) Bhd,N,N,N,Y,42,16,18,16326.31,18870.97,226451.64,5
2026-09-02,83197857,Zulkifli Nabil,Zulkifli,Nabil,SINGLE,M,MALAYSIAN,Kedah,Northern,Others,Education,FAMILY OWNED,06286,"No 40, Jalan Cempaka 16",Taman Taman Universiti,"Sungai Petani, Kedah",07622,06286,Engineer,2,Bachelor Degree,Malayan Banking Berhad,N,Y,Y,Y,35,5,15,18800.57,23115.72,277388.64,4
2026-09-02,21668732,Iskandar Nazri,Iskandar,Nazri,MARRIED,M,MALAYSIAN,Kedah,Northern,Malay,Retail Trade,RENTING,07259,"No 1, Jalan Kenanga 1",Taman Bandar Sunway,"Alor Setar, Kedah",09782,07259,Sales Executive,2,Bachelor Degree,Tenaga Nasional Berhad,N,Y,N,Y,40,18,5,20403.82,26020.56,312246.72,5
2026-09-02,89254563,Halim Kamarul,Halim,Kamarul,DIVORCED,M,MALAYSIAN,Selangor,Central,Malay,Education,RENTING,43174,"No 119, Jalan Cempaka 15",Taman Setia Alam,"Klang, Selangor",45949,43174,Driver,5,Diploma,Dell Malaysia,N,N,N,N,38,2,20,22780.71,28535.0,342420.0,5
2026-09-02,66629388,Sim Mei Ling,Sim,Mei Ling,SINGLE,F,MALAYSIAN,Negeri Sembilan,Southern,Chinese,Professional Services,MORTGAGE,70117,"No 332, Jalan Seroja 7",Taman Bandar Sunway,"Nilai, Negeri Sembilan",73963,70117,Factory Worker,3,SPM,Government of Malaysia,N,Y,Y,N,46,7,8,4411.15,5695.99,68351.88,1
2026-09-02,14265799,Ho Pei Shan,Ho,Pei Shan,MARRIED,M,MALAYSIAN,Terengganu,East Coast,Chinese,Hospitality,RENTING,21414,"No 51, Jalan Nuri 15",Taman Sri Rampai,"Kuala Terengganu, Terengganu",23179,21414,Factory Worker,3,Certificate,Public Bank Berhad,N,Y,Y,Y,30,5,12,6647.95,7755.51,93066.12,1
2026-09-02,13999315,Chong Yee Ling,Chong,Yee Ling,MARRIED,M,MALAYSIAN,Sarawak,East Malaysia,Chinese,Agriculture,OWNED,97819,"No 169, Jalan Teratai 1",Taman Damansara Utama,"Miri, Sarawak",95772,97819,Army Personnel,1,SPM,Grab Malaysia,N,Y,N,Y,31,5,3,16015.77,19988.88,239866.56,5
2026-09-02,22575562,Lim Kok Leong,Lim,Kok Leong,MARRIED,F,MALAYSIAN,Sabah,East Malaysia,Chinese,Agriculture,OWNED,88198,"No 22, Jalan Melati 8",Taman Sri Rampai,"Lahad Datu, Sabah",91657,88198,Technician,1,Diploma,Proton Holdings,N,N,N,Y,53,6,3,18726.44,23704.26,284451.12,5
2026-09-02,39345092,Azman Nazri,Azman,Nazri,MARRIED,M,MALAYSIAN,Kuala Lumpur,Central,Malay,Construction,RENTING,54698,"No 150, Jalan Indah 20",Taman Kota Damansara,"Bangsar, Kuala Lumpur",57252,54698,Clerk,1,SPM,Proton Holdings,N,N,N,N,46,18,26,1541.75,1813.81,21765.72,1
2026-09-02,41227216,Kamarul Amir,Kamarul,Amir,DIVORCED,M,MALAYSIAN,Perak,Northern,Malay,Transportation,OWNED,36990,"No 296, Jalan Suria 16",Taman Sri Rampai,"Taiping, Perak",30029,36990,Factory Worker,1,Bachelor Degree,AirAsia Berhad,N,Y,Y,N,65,10,3,5660.51,7495.76,89949.12,4
2026-09-02,77827638,Zaleha Ismail,Zaleha,Ismail,SINGLE,F,MALAYSIAN,Kedah,Northern,Malay,Financial Services,FAMILY OWNED,08032,"No 343, Jalan Teratai 16",Taman Setia Alam,"Alor Setar, Kedah",07540,08032,Doctor,2,Master Degree,Nestle (M) Berhad,N,N,Y,N,36,10,6,9827.3,12635.76,151629.12,5
2026-09-02,90801586,Zaleha Khairul,Zaleha,Khairul,MARRIED,F,MALAYSIAN,Perak,Northern,Malay,Financial Services,MORTGAGE,35314,"No 8, Jalan Cempaka 14",Taman Sentosa,"Sitiawan, Perak",31061,35314,Factory Worker,1,Certificate,MISC Berhad,N,Y,N,Y,55,21,16,18712.01,25188.64,302263.68,4
2026-09-02,13561597,Zulkifli Ismail,Zulkifli,Ismail,SINGLE,M,MALAYSIAN,Pulau Pinang,Northern,Malay,Healthcare,MORTGAGE,10464,"No 170, Jalan Setia 15",Taman Desa Jaya,"George Town, Pulau Pinang",13205,10464,Doctor,5,SPM,Malayan Banking Berhad,N,Y,Y,N,26,4,6,23266.6,31305.42,375665.04,3
2026-09-02,85329037,Danial Aiman,Danial,Aiman,MARRIED,M,MALAYSIAN,Kuala Lumpur,Central,Malay,Education,OWNED,59921,"No 209, Jalan Wawasan 13",Taman Seri Kembangan,"Setapak, Kuala Lumpur",52585,59921,Sales Executive,3,Master Degree,AEON Co (M) Bhd,N,N,Y,Y,23,4,2,7751.14,8974.07,107688.84,2
2026-09-02,36687537,Lee Mun Yee,Lee,Mun Yee,SINGLE,F,MALAYSIAN,Kedah,Northern,Chinese,Food & Beverage,RENTING,05563,"No 208, Jalan Kenanga 14",Taman Bandar Baru,"Alor Setar, Kedah",07065,05563,Contractor,5,Diploma,Self Employed,Y,N,Y,N,42,11,3,11700.27,15020.26,180243.12,5
2026-09-02,97226012,Ravi Karuppiah,Ravi,Karuppiah,DIVORCED,M,MALAYSIAN,Johor,Southern,Indian,Plantation,OWNED,80722,"No 31, Jalan Teratai 16",Taman Taman Melawati,"Johor Bahru, Johor",84878,80722,Accountant,5,Bachelor Degree,MISC Berhad,N,N,N,Y,45,8,17,17411.01,23098.38,277180.56,1
2026-09-02,83140807,Wong Mun Yee,Wong,Mun Yee,MARRIED,M,MALAYSIAN,Sarawak,East Malaysia,Chinese,Education,RENTING,97603,"No 151, Jalan Cempaka 14",Taman Taman Sri Muda,"Bintulu, Sarawak",96836,97603,Technician,3,Bachelor Degree,IOI Corporation,N,N,Y,N,57,26,29,6734.5,8144.38,97732.56,4
2026-09-02,66306997,Chua Li Wei,Chua,Li Wei,MARRIED,M,MALAYSIAN,Pulau Pinang,Northern,Chinese,Real Estate,OWNED,12037,"No 346, Jalan Harmoni 8",Taman Taman Sri Muda,"Bukit Mertajam, Pulau Pinang",14799,12037,Nurse,5,STPM,Public Bank Berhad,N,N,Y,N,29,11,8,5475.58,6976.45,83717.4,5
2026-09-02,39587039,Priya Palanisamy,Priya,Palanisamy,MARRIED,F,MALAYSIAN,Sarawak,East Malaysia,Indian,Oil & Gas,OWNED,93815,"No 306, Jalan Bahagia 1",Taman Seri Kembangan,"Miri, Sarawak",95843,93815,Chef,3,SPM,DiGi Telecommunications,N,N,N,Y,52,22,34,10270.98,12852.75,154233.0,3
2026-09-02,70291817,Hasnah Azman,Hasnah,Azman,SINGLE,F,MALAYSIAN,Sabah,East Malaysia,Malay,Healthcare,RENTING,90334,"No 224, Jalan Bahagia 14",Taman Setia Alam,"Kota Kinabalu, Sabah",90202,90334,Self-Employed,3,Bachelor Degree,Self Employed,Y,N,N,N,47,17,5,21880.42,26159.99,313919.88,3
2026-09-02,89089901,Kamarul Khairul,Kamarul,Khairul,SINGLE,M,MALAYSIAN,Terengganu,East Coast,Malay,Wholesale,OWNED,21342,"No 69, Jalan Indah 4",Taman Damansara Utama,"Marang, Terengganu",20031,21342,Supervisor,5,STPM,AirAsia Berhad,N,N,Y,Y,34,0,14,23240.04,30780.38,369364.56,5
2026-09-02,47338124,Toh Wei Ming,Toh,Wei Ming,MARRIED,F,MALAYSIAN,Johor,Southern,Chinese,Plantation,OWNED,81172,"No 15, Jalan Suria 3",Taman Bukit Beruntung,"Segamat, Johor",80900,81172,Nurse,5,Bachelor Degree,Nestle (M) Berhad,N,Y,N,Y,39,16,19,4008.4,5134.67,61616.04,3
2026-09-02,10872248,Hafiz Nazri,Hafiz,Nazri,MARRIED,M,MALAYSIAN,Sabah,East Malaysia,Malay,Oil & Gas,MORTGAGE,89918,"No 219, Jalan Utama 16",Taman Setia Alam,"Sandakan, Sabah",91006,89918,Police Officer,3,Diploma,Tenaga Nasional Berhad,N,N,N,N,58,14,9,13352.41,17509.22,210110.64,2
2026-09-02,31429110,Fatimah Ridwan,Fatimah,Ridwan,MARRIED,F,MALAYSIAN,Kelantan,East Coast,Malay,Transportation,MORTGAGE,17838,"No 300, Jalan Damai 11",Taman Desa Jaya,"Kota Bharu, Kelantan",16128,17838,Army Personnel,3,STPM,Self Employed,N,Y,Y,N,38,19,10,14866.86,19839.21,238070.52,1
2026-09-02,66722344,Muthu Chandran,Muthu,Chandran,MARRIED,M,MALAYSIAN,Perak,Northern,Indian,Plantation,OWNED,34848,"No 65, Jalan Permai 13",Taman Taman Melawati,"Sitiawan, Perak",35320,34848,Retail Assistant,2,Diploma,Proton Holdings,N,N,Y,Y,45,18,21,1907.17,2533.03,30396.36,5
2026-09-02,55667651,Nabil Abdul Rahman,Nabil,Abdul Rahman,SINGLE,M,MALAYSIAN,Pulau Pinang,Northern,Malay,Hospitality,RENTING,12537,"No 31, Jalan Melati 5",Taman Kota Damansara,"Bukit Mertajam, Pulau Pinang",10739,12537,Retail Assistant,3,Diploma,Nestle (M) Berhad,N,Y,N,N,38,19,15,2573.7,3140.27,37683.24,5
2026-09-02,47295260,Chong Hui Min,Chong,Hui Min,MARRIED,F,MALAYSIAN,Kedah,Northern,Chinese,Retail Trade,FAMILY OWNED,08619,"No 327, Jalan Damai 2",Taman Kota Damansara,"Alor Setar, Kedah",07383,08619,Sales Executive,1,Bachelor Degree,Intel Malaysia,N,N,Y,N,61,10,19,2655.32,3329.99,39959.88,2
2026-09-02,30868105,Segar Sinnasamy,Segar,Sinnasamy,SINGLE,M,MALAYSIAN,Negeri Sembilan,Southern,Indian,Professional Services,FAMILY OWNED,72744,"No 112, Jalan Permai 11",Taman Taman Melawati,"Bahau, Negeri Sembilan",72926,72744,Security Guard,2,Bachelor Degree,Public Bank Berhad,N,N,Y,Y,33,4,0,9912.27,11459.27,137511.24,4
2026-09-02,38898923,Aishah Ridwan,Aishah,Ridwan,SINGLE,F,MALAYSIAN,Kuala Lumpur,Central,Malay,Education,RENTING,59397,"No 203, Jalan Cempaka 15",Taman Desa Jaya,"Cheras, Kuala Lumpur",57080,59397,Security Guard,3,SPM,Gamuda Berhad,N,Y,N,Y,48,18,22,17058.58,20154.51,241854.12,2
2026-09-02,55176955,Suraya Ismail,Suraya,Ismail,MARRIED,F,MALAYSIAN,Kuala Lumpur,Central,Malay,Food & Beverage,FAMILY OWNED,53137,"No 22, Jalan Perdana 19",Taman Seri Kembangan,"Cheras, Kuala Lumpur",50638,53137,Driver,3,Diploma,Petronas,N,N,N,Y,33,9,10,14153.77,18339.65,220075.8,5
2026-09-02,23718431,Goh Cheng Han,Goh,Cheng Han,SINGLE,M,MALAYSIAN,Pahang,East Coast,Chinese,Wholesale,MORTGAGE,27175,"No 164, Jalan Seroja 16",Taman Damansara Utama,"Kuantan, Pahang",28585,27175,Army Personnel,3,Diploma,AirAsia Berhad,N,Y,N,Y,44,15,22,2697.89,3169.34,38032.08,4
2026-09-02,22448136,Aiman Khairul,Aiman,Khairul,SINGLE,M,MALAYSIAN,Selangor,Central,Malay,Oil & Gas,FAMILY OWNED,40348,"No 24, Jalan Kenanga 20",Taman Bukit Beruntung,"Shah Alam, Selangor",68086,40348,Nurse,3,Bachelor Degree,Malayan Banking Berhad,N,Y,Y,Y,49,9,14,10322.95,12016.47,144197.64,3
2026-09-02,60992979,Haikal Shahrul,Haikal,Shahrul,MARRIED,M,MALAYSIAN,Terengganu,East Coast,Malay,Healthcare,FAMILY OWNED,20039,"No 320, Jalan Bahagia 17",Taman Seri Kembangan,"Kemaman, Terengganu",21781,20039,Police Officer,3,SPM,Gamuda Berhad,N,N,N,N,38,3,9,2914.18,3453.4,41440.8,2
2026-09-02,22981052,Naresh Muniandy,Naresh,Muniandy,WIDOWED,M,MALAYSIAN,Perak,Northern,Indian,Healthcare,OWNED,32119,"No 257, Jalan Permai 18",Taman Sentosa,"Ipoh, Perak",30331,32119,Administrator,5,Diploma,Nestle (M) Berhad,N,N,Y,Y,26,7,5,16864.49,19506.61,234079.32,3
2026-09-02,58181396,Chong Yan Ping,Chong,Yan Ping,SINGLE,F,MALAYSIAN,Perak,Northern,Chinese,Education,MORTGAGE,32976,"No 62, Jalan Indah 14",Taman Bukit Beruntung,"Sitiawan, Perak",32357,32976,Driver,5,Bachelor Degree,Tenaga Nasional Berhad,N,N,Y,N,40,13,17,21505.91,29020.64,348247.68,5
2026-09-02,56164955,Segar Ramasamy,Segar,Ramasamy,SINGLE,M,MALAYSIAN,Kelantan,East Coast,Indian,Education,OWNED,15565,"No 61, Jalan Setia 5",Taman Puchong Perdana,"Gua Musang, Kelantan",15512,15565,Nurse,2,Diploma,AEON Co (M) Bhd,N,N,N,Y,57,35,15,16038.93,21421.7,257060.4,4
2026-09-02,91030736,Khairul Haikal,Khairul,Haikal,SINGLE,M,MALAYSIAN,Selangor,Central,Malay,Transportation,MORTGAGE,67736,"No 268, Jalan Ria 2",Taman Puchong Perdana,"Klang, Selangor",66882,67736,Manager,5,Diploma,AirAsia Berhad,N,N,N,Y,50,31,14,4565.8,5448.85,65386.2,1
2026-09-02,45503389,Gan Xin Yi,Gan,Xin Yi,MARRIED,M,MALAYSIAN,Kedah,Northern,Chinese,Wholesale,RENTING,05404,"No 181, Jalan Mawar 14",Taman Bandar Sunway,"Sungai Petani, Kedah",09238,05404,Chef,1,Bachelor Degree,AirAsia Berhad,N,Y,Y,N,34,5,5,18684.44,23673.66,284083.92,2
2026-09-02,15831819,Kamarul Muhammad,Kamarul,Muhammad,SINGLE,M,MALAYSIAN,Melaka,Southern,Malay,Transportation,OWNED,78070,"No 304, Jalan Ria 5",Taman Damansara Utama,"Alor Gajah, Melaka",75654,78070,Engineer,3,STPM,IOI Corporation,N,N,Y,Y,52,13,8,18850.38,24067.3,288807.6,4
2026-09-02,71662963,Rozita Hakim,Rozita,Hakim,SINGLE,F,MALAYSIAN,Perlis,Northern,Malay,Healthcare,OWNED,02034,"No 234, Jalan Setia 2",Taman Seri Kembangan,"Kangar, Perlis",02690,02034,Chef,3,STPM,Malayan Banking Berhad,N,N,Y,Y,33,6,0,22349.91,27914.04,334968.48,3
2026-09-02,81971316,Maziah Rosli,Maziah,Rosli,SINGLE,F,MALAYSIAN,Selangor,Central,Malay,Government,FAMILY OWNED,68612,"No 190, Jalan Cempaka 18",Taman Setia Alam,"Kajang, Selangor",65836,68612,Technician,2,SPM,IOI Corporation,N,N,N,Y,27,0,8,15553.4,19247.06,230964.72,1
2026-09-02,26753883,Mohd Faizal Nabil,Mohd Faizal,Nabil,SINGLE,M,MALAYSIAN,Selangor,Central,Malay,Transportation,OWNED,64322,"No 212, Jalan Seroja 17",Taman Puchong Perdana,"Klang, Selangor",68665,64322,Civil Servant,5,SPM,AirAsia Berhad,N,Y,Y,N,50,17,11,5518.49,7394.89,88738.68,4
2026-09-02,60806024,Aishah Rosli,Aishah,Rosli,MARRIED,F,MALAYSIAN,Pulau Pinang,Northern,Malay,Manufacturing,OWNED,11409,"No 2, Jalan Melati 7",Taman Damansara Utama,"Bayan Lepas, Pulau Pinang",10650,11409,Accountant,5,Certificate,Tenaga Nasional Berhad,N,N,Y,Y,51,25,21,12484.85,14367.41,172408.92,2
2026-09-02,20576383,Nur Hidayah Nabil,Nur Hidayah,Nabil,SINGLE,F,MALAYSIAN,Sabah,East Malaysia,Others,Retail Trade,FAMILY OWNED,90592,"No 247, Jalan Cempaka 12",Taman Bukit Indah,"Lahad Datu, Sabah",90224,90592,Driver,5,Certificate,Intel Malaysia,N,N,N,Y,29,3,3,12572.02,15691.78,188301.36,4
2026-09-02,84093639,Nazri Ridwan,Nazri,Ridwan,SINGLE,M,MALAYSIAN,Kuala Lumpur,Central,Malay,Healthcare,EMPLOYER PROVIDED,60545,"No 146, Jalan Bahagia 15",Taman Taman Melawati,"Kuala Lumpur, Kuala Lumpur",60370,60545,Administrator,1,SPM,Astro Malaysia,N,N,N,N,24,0,1,3887.23,4556.48,54677.76,5
2026-09-02,49349722,Zaleha Haikal,Zaleha,Haikal,WIDOWED,F,MALAYSIAN,Selangor,Central,Malay,Education,FAMILY OWNED,47716,"No 156, Jalan Wawasan 8",Taman Sri Rampai,"Shah Alam, Selangor",44662,47716,Driver,3,Diploma,Malayan Banking Berhad,N,N,N,N,40,14,11,24390.28,31355.43,376265.16,4
2026-09-02,94374605,Liyana Halim,Liyana,Halim,MARRIED,F,MALAYSIAN,Pulau Pinang,Northern,Malay,Agriculture,OWNED,12621,"No 56, Jalan Indah 19",Taman Sentosa,"Butterworth, Pulau Pinang",11494,12621,Supervisor,2,SPM,Gamuda Berhad,N,N,Y,Y,44,10,12,1626.92,1981.85,23782.2,3
2026-09-02,93016315,Yeoh Sook Yee,Yeoh,Sook Yee,MARRIED,M,MALAYSIAN,Selangor,Central,Chinese,Financial Services,FAMILY OWNED,64489,"No 58, Jalan Wawasan 2",Taman Sri Melati,"Shah Alam, Selangor",41539,64489,Police Officer,1,Bachelor Degree,Shopee Malaysia,N,Y,Y,N,26,5,1,9000.23,11899.58,142794.96,5
2026-09-02,58537831,Siti Aishah Haikal,Siti Aishah,Haikal,MARRIED,F,MALAYSIAN,Perak,Northern,Malay,Manufacturing,RENTING,35505,"No 30, Jalan Utama 12",Taman Sri Rampai,"Taiping, Perak",35130,35505,Doctor,1,Bachelor Degree,Genting Malaysia,N,N,Y,Y,38,11,19,15836.29,21032.67,252392.04,4
2026-09-02,87490893,Bala Govindasamy,Bala,Govindasamy,MARRIED,M,MALAYSIAN,Perak,Northern,Indian,Transportation,OWNED,34049,"No 215, Jalan Nuri 19",Taman Sri Rampai,"Teluk Intan, Perak",36881,34049,Self-Employed,1,Bachelor Degree,Self Employed,Y,N,Y,Y,61,22,4,4609.51,6119.86,73438.32,4
2026-09-02,35808537,Mohd Faizal Danial,Mohd Faizal,Danial,MARRIED,M,MALAYSIAN,Perak,Northern,Malay,Retail Trade,RENTING,35272,"No 143, Jalan Damai 20",Taman Puchong Perdana,"Sitiawan, Perak",36762,35272,Nurse,3,Bachelor Degree,Genting Malaysia,N,N,Y,Y,58,6,33,18902.68,24125.75,289509.0,5
2026-09-02,19335534,Lau Cheng Han,Lau,Cheng Han,WIDOWED,M,MALAYSIAN,Selangor,Central,Chinese,Plantation,OWNED,47081,"No 221, Jalan Kenanga 12",Taman Sri Gombak,"Subang Jaya, Selangor",46009,47081,Administrator,5,Master Degree,Intel Malaysia,N,N,Y,N,24,3,4,8513.16,9853.25,118239.0,5
2026-09-02,16150444,Yeoh Sze Ying,Yeoh,Sze Ying,MARRIED,F,MALAYSIAN,Kedah,Northern,Chinese,Food & Beverage,OWNED,09520,"No 323, Jalan Suria 20",Taman Sentosa,"Alor Setar, Kedah",07056,09520,Nurse,3,SPM,Top Glove Corporation,N,Y,N,N,23,4,0,10173.17,11836.37,142036.44,1
2026-09-02,98753260,Alia Halim,Alia,Halim,MARRIED,F,MALAYSIAN,Johor,Southern,Malay,Construction,MORTGAGE,85881,"No 48, Jalan Seroja 20",Taman Seri Kembangan,"Batu Pahat, Johor",82922,85881,Security Guard,2,Bachelor Degree,AEON Co (M) Bhd,N,N,Y,N,49,12,29,9403.72,11404.11,136849.32,3
2026-09-02,40587988,Aishah Azman,Aishah,Azman,SINGLE,F,MALAYSIAN,Sarawak,East Malaysia,Malay,Government,RENTING,98456,"No 238, Jalan Utama 7",Taman Sri Gombak,"Bintulu, Sarawak",98785,98456,Accountant,5,Diploma,IOI Corporation,N,N,N,N,40,19,17,24832.47,30315.37,363784.44,4
2026-09-02,48840994,Khoo Jia Hui,Khoo,Jia Hui,WIDOWED,M,MALAYSIAN,Pahang,East Coast,Chinese,Plantation,OWNED,26800,"No 119, Jalan Merdeka 11",Taman Desa Jaya,"Kuantan, Pahang",25900,26800,Businessman,5,SPM,Self Employed,Y,N,Y,N,41,2,12,19743.77,24113.06,289356.72,2
2026-09-02,20709497,Firdaus Amir,Firdaus,Amir,MARRIED,M,MALAYSIAN,Pulau Pinang,Northern,Malay,Transportation,FAMILY OWNED,10097,"No 2, Jalan Wawasan 5",Taman Bandar Baru,"Bukit Mertajam, Pulau Pinang",12278,10097,Chef,1,SPM,Gamuda Berhad,N,N,Y,Y,24,3,0,5596.64,6598.51,79182.12,4
2026-09-02,41244663,Priya Govindasamy,Priya,Govindasamy,SINGLE,F,MALAYSIAN,Johor,Southern,Indian,Healthcare,MORTGAGE,84045,"No 118, Jalan Melati 19",Taman Sri Rampai,"Segamat, Johor",81862,84045,Engineer,2,Diploma,Petronas,N,N,Y,Y,43,14,23,5724.78,6960.3,83523.6,2
2026-09-02,23556182,Mohd Faizal Khairul,Mohd Faizal,Khairul,MARRIED,M,MALAYSIAN,Johor,Southern,Malay,Financial Services,RENTING,84334,"No 46, Jalan Cempaka 8",Taman Seri Kembangan,"Johor Bahru, Johor",81144,84334,Police Officer,2,SPM,Proton Holdings,N,Y,Y,Y,46,20,9,9750.76,11967.28,143607.36,5
2026-09-02,61019678,Chong Wai Kit,Chong,Wai Kit,MARRIED,F,MALAYSIAN,Johor,Southern,Chinese,Professional Services,RENTING,84368,"No 214, Jalan Mawar 7",Taman Puchong Perdana,"Batu Pahat, Johor",85420,84368,Clerk,5,Diploma,IOI Corporation,N,N,Y,Y,50,15,29,23784.76,31865.56,382386.72,2
2026-09-02,47308985,Lau Boon Hong,Lau,Boon Hong,WIDOWED,F,MALAYSIAN,Selangor,Central,Chinese,Oil & Gas,OWNED,65927,"No 68, Jalan Seroja 4",Taman Sentosa,"Subang Jaya, Selangor",43168,65927,Manager,2,Certificate,AEON Co (M) Bhd,N,N,Y,Y,41,7,10,4680.18,5479.21,65750.52,2
2026-09-02,70855700,Lau Wan Ting,Lau,Wan Ting,SINGLE,F,MALAYSIAN,Melaka,Southern,Chinese,Retail Trade,MORTGAGE,77105,"No 232, Jalan Perdana 13",Taman Taman Universiti,"Melaka, Melaka",78896,77105,Police Officer,2,Diploma,Proton Holdings,N,N,Y,N,41,6,13,20222.34,23544.77,282537.24,4
2026-09-02,95320121,Suraya Zulkifli,Suraya,Zulkifli,DIVORCED,F,MALAYSIAN,Selangor,Central,Others,Retail Trade,OWNED,40437,"No 318, Jalan Cempaka 1",Taman Sri Melati,"Subang Jaya, Selangor",47829,40437,Civil Servant,2,No Formal Education,Grab Malaysia,N,N,N,N,30,8,5,14725.57,18982.98,227795.76,5
2026-09-02,58966946,Lau Yan Ping,Lau,Yan Ping,MARRIED,F,MALAYSIAN,Negeri Sembilan,Southern,Chinese,Hospitality,RENTING,72868,"No 117, Jalan Nuri 6",Taman Setia Alam,"Port Dickson, Negeri Sembilan",73930,72868,Clerk,2,Diploma,IOI Corporation,N,N,Y,N,54,12,25,9123.44,11011.58,132138.96,2
