Expiry_DT,FirstSpend_DT,Block_Code,Block_Date,CIC_Status,Card_Status,AKPK_Status,Card_First_Emboss_Date,Card_Emboss_Date,Card_First_Activated_Date,Card_Activated_Date,CP_CL,CP_CL_Available,CA_CL,CA_CL_Available,CP_CL_Usage,CA_CL_Usage,CIF_ID,Account_No,Account_Agree_Sts,Virtual_Card_Flag,Wallet_Tier
20271015,20260925,,0,P,Active,Y,20260827,20260827,20260828,20260828,45500.0,26368.38,10230.35,2729.99,19131.62,7500.36,97588190,1000000000000000,N,N,Platinum
20290315,20260524,,0,P,Dormant,N,20260504,20260504,0,0,24500.0,23437.61,5371.07,5371.07,1062.39,0.0,85853367,1000000000000001,A,N,Platinum
20310215,20260717,,0,C,Dormant,N,20260630,20260630,20260705,20260705,22500.0,21385.44,9692.58,9692.58,1114.56,0.0,10007812,1000000000000002,N,N,Gold
20290515,20260606,,0,P,Active,Y,20260429,20260429,20260512,20260512,33500.0,33264.24,15256.77,10373.86,235.76,4882.91,49123810,1000000000000003,C,Y,Gold
20281115,20250901,,0,N,Dormant,N,20250824,20250824,0,0,40000.0,38745.42,11689.55,11689.55,1254.58,0.0,45830413,1000000000000004,A,N,Platinum
20290315,20260109,C,20260224,N,Blocked,N,20251220,20251220,20251226,20251226,39500.0,36540.12,12305.35,10111.0,2959.88,2194.35,90323465,1000000000000005,N,Y,Gold
20311215,20260922,,0,N,Active,N,20260829,20260829,20260831,20260831,26000.0,23288.63,6018.25,2605.79,2711.37,3412.46,45349744,1000000000000006,N,N,Platinum
20291215,20260623,,0,N,Active,N,20260602,20260602,20260612,20260612,34500.0,24851.98,9565.74,8951.86,9648.02,613.88,59287710,1000000000000007,A,N,Platinum
20290815,20251008,,0,P,Active,Y,20250911,20250911,20250910,20250910,20000.0,6070.2,8029.15,1707.28,13929.8,6321.87,25075778,1000000000000008,A,Y,Basic
20271215,20251124,,0,N,Active,Y,20251021,20251021,20251101,20251101,38000.0,29537.98,10699.9,7918.06,8462.02,2781.84,53609415,1000000000000009,C,Y,Platinum
20301115,20260215,,0,N,Dormant,N,20260208,20260208,0,0,35000.0,33529.11,13027.05,13027.05,1470.89,0.0,84226773,1000000000000010,N,N,Platinum
20290815,20260429,,0,C,Dormant,N,20260406,20260406,0,0,36000.0,35965.97,13413.56,13413.56,34.03,0.0,56089546,1000000000000011,N,Y,Platinum
20301215,20260104,,0,P,Active,N,20251213,20251213,20251227,20251227,28500.0,15616.72,8637.04,6335.03,12883.28,2302.01,10558017,1000000000000012,C,N,Silver
20300715,20260507,,0,P,Active,N,20260509,20260509,20260503,20260503,37000.0,16209.55,8891.85,2137.54,20790.45,6754.31,41975856,1000000000000013,C,N,Gold
